seed,school_common_name,site,year,id,school_full_name,team,city,state,type,conference,distance,address,lng,lat,geometry
3.0,Texas Tech,"Dallas, TX",2018.0,201824,Texas Tech University,Red Raiders,Lubbock,Texas,State,Big 12 Conference,300.38938253000003,"Dallas, TX",-96.7968559,32.7762719,POINT (-96.7968559 32.7762719)
3.0,Michigan State,"Detroit, MI",2018.0,201825,Michigan State University,Spartans,East Lansing,Michigan,State,Big Ten Conference,77.62787903,"Detroit, MI",-83.04664029999999,42.331550899999996,POINT (-83.04664029999999 42.3315509)
3.0,Michigan,"Wichita, KS",2018.0,201826,University of Michigan,Wolverines,Ann Arbor,Michigan,State,Big Ten Conference,787.12792796,"Wichita, KS",-97.3375448,37.6922361,POINT (-97.3375448 37.6922361)
3.0,Tennessee,"Dallas, TX",2018.0,201827,University of Tennessee,Volunteers,Knoxville,Tennessee,State,Southeastern Conference,765.23702763,"Dallas, TX",-96.7968559,32.7762719,POINT (-96.7968559 32.7762719)
4.0,Wichita State,"San Diego, CA",2018.0,201828,Wichita State University,Shockers,Wichita,Kansas,State,American Athletic Conference,1170.94258095,"San Diego, CA",-117.16277140000001,32.7174209,POINT (-117.1627714 32.7174209)
4.0,Auburn,"San Diego, CA",2018.0,201829,Auburn University,Tigers,Auburn,Alabama,State,Southeastern Conference,1835.18196624,"San Diego, CA",-117.16277140000001,32.7174209,POINT (-117.1627714 32.7174209)
4.0,Gonzaga,"Boise, ID",2018.0,201830,Gonzaga University,Bulldogs,Spokane,Washington,Private/Catholic,West Coast Conference,285.78716403,"Boise, ID",-116.20088600000001,43.6166163,POINT (-116.200886 43.6166163)
4.0,Arizona,"Boise, ID",2018.0,201831,University of Arizona,Wildcats,Tucson,Arizona,State,Pac-12 Conference,836.29080148,"Boise, ID",-116.20088600000001,43.6166163,POINT (-116.200886 43.6166163)
1.0,Villanova,"Buffalo, NY",2017.0,201732,Villanova University,Wildcats,Radnor Township,Pennsylvania,Private/Catholic,Big East Conference,268.96043735,"Buffalo, NY",-78.87839220000001,42.8867166,POINT (-78.87839220000001 42.8867166)
1.0,Kansas,"Tulsa, OK",2017.0,201733,University of Kansas,Jayhawks,Lawrence,Kansas,State,Big 12 Conference,197.87559495,"Tulsa, OK",-95.9929113,36.1556805,POINT (-95.9929113 36.1556805)
1.0,North Carolina,"Greenville, SC",2017.0,201734,University of North Carolina at Chapel Hill,Tar Heels,Chapel Hill,North Carolina,State,Atlantic Coast Conference,202.29975647,"Greenville, SC",-82.3984882,34.851354,POINT (-82.3984882 34.851354)
1.0,Gonzaga,"Salt Lake City, UT",2017.0,201735,Gonzaga University,Bulldogs,Spokane,Washington,Private/Catholic,West Coast Conference,549.55293982,"Salt Lake City, UT",-111.88679750000001,40.759619799999996,POINT (-111.8867975 40.7596198)
2.0,Duke,"Greenville, SC",2017.0,201736,Duke University,Blue Devils,Durham,North Carolina,Private/Non-sectarian,Atlantic Coast Conference,210.03582541999998,"Greenville, SC",-82.3984882,34.851354,POINT (-82.3984882 34.851354)
2.0,Louisville,"Indianapolis, IN",2017.0,201737,University of Louisville,Cardinals,Louisville,Kentucky,State,Atlantic Coast Conference,109.34265487,"Indianapolis, IN",-86.1583502,39.7683331,POINT (-86.1583502 39.7683331)
2.0,Kentucky,"Indianapolis, IN",2017.0,201738,University of Kentucky,Wildcats,Lexington,Kentucky,State,Southeastern Conference,149.59506825,"Indianapolis, IN",-86.1583502,39.7683331,POINT (-86.1583502 39.7683331)
2.0,Arizona,"Salt Lake City, UT",2017.0,201739,University of Arizona,Wildcats,Tucson,Arizona,State,Pac-12 Conference,591.57626055,"Salt Lake City, UT",-111.88679750000001,40.759619799999996,POINT (-111.8867975 40.7596198)
3.0,Baylor,"Tulsa, OK",2017.0,201740,Baylor University,Bears,Waco,Texas,Private/Baptist,Big 12 Conference,324.57935556,"Tulsa, OK",-95.9929113,36.1556805,POINT (-95.9929113 36.1556805)
3.0,Oregon,"Sacramento, CA",2017.0,201741,University of Oregon,Ducks,Eugene,Oregon,State,Pac-12 Conference,386.2442136,"Sacramento, CA",-121.49439960000001,38.5815719,POINT (-121.4943996 38.5815719)
3.0,UCLA,"Sacramento, CA",2017.0,201742,"University of California, Los Angeles",Bruins,Los Angeles,California,State,Pac-12 Conference,354.77798616,"Sacramento, CA",-121.49439960000001,38.5815719,POINT (-121.4943996 38.5815719)
3.0,Florida State,"Orlando, FL",2017.0,201743,Florida State University,Seminoles,Tallahassee,Florida,State,Atlantic Coast Conference,219.17619283000002,"Orlando, FL",-81.3790304,28.5421109,POINT (-81.3790304 28.5421109)
4.0,Florida,"Orlando, FL",2017.0,201744,University of Florida,Gators,Gainesville,Florida,State,Southeastern Conference,95.4425856,"Orlando, FL",-81.3790304,28.5421109,POINT (-81.3790304 28.5421109)
4.0,Purdue,"Milwaukee, WI",2017.0,201745,Purdue University,Boilermakers,West Lafayette,Indiana,State,Big Ten Conference,187.06995326,"Milwaukee, WI",-87.92249699999999,43.0349931,POINT (-87.92249699999999 43.0349931)
4.0,Butler,"Milwaukee, WI",2017.0,201746,Butler University,Bulldogs,Indianapolis,Indiana,Private/Non-Sectarian,Big East Conference,238.55054061,"Milwaukee, WI",-87.92249699999999,43.0349931,POINT (-87.92249699999999 43.0349931)
4.0,West Virginia,"Buffalo, NY",2017.0,201747,West Virginia University,Mountaineers,Morgantown,West Virginia,State,Big 12 Conference,230.89524988999997,"Buffalo, NY",-78.87839220000001,42.8867166,POINT (-78.87839220000001 42.8867166)
1.0,North Carolina,"Raleigh, NC",2016.0,201648,University of North Carolina at Chapel Hill,Tar Heels,Chapel Hill,North Carolina,State,Atlantic Coast Conference,24.45716256,"Raleigh, NC",-78.63909890000001,35.7803977,POINT (-78.63909890000001 35.7803977)
1.0,Kansas,"Des Moines, IA",2016.0,201649,University of Kansas,Jayhawks,Lawrence,Kansas,State,Big 12 Conference,201.49818788,"Des Moines, IA",-93.60371490000001,41.5910641,POINT (-93.60371490000001 41.5910641)
1.0,Oregon,"Spokane, WA",2016.0,201650,University of Oregon,Ducks,Eugene,Oregon,State,Pac-12 Conference,369.16893852,"Spokane, WA",-117.42122649999999,47.6579425,POINT (-117.4212265 47.6579425)
1.0,Virginia,"Raleigh, NC",2016.0,201651,University of Virginia,Cavaliers,Charlottesville,Virginia,State,Atlantic Coast Conference,156.36801215,"Raleigh, NC",-78.63909890000001,35.7803977,POINT (-78.63909890000001 35.7803977)
2.0,Xavier,"St. Louis, MO",2016.0,201652,Xavier University,Musketeers,Cincinnati,Ohio,Private/Catholic,Big East Conference,312.1146533,"St. Louis, MO",-90.24111656024635,38.6529545,POINT (-90.24111656024635 38.6529545)
2.0,Villanova,"Brooklyn, NY",2016.0,201653,Villanova University,Wildcats,Radnor Township,Pennsylvania,Private/Catholic,Big East Conference,84.64315762,"Brooklyn, NY",-73.9495823,40.6501038,POINT (-73.9495823 40.6501038)
2.0,Oklahoma,"Oklahoma City, OK",2016.0,201654,University of Oklahoma,Sooners,Norman,Oklahoma,State,Big 12 Conference,19.55454537,"Oklahoma City, OK",-97.5170536,35.4729886,POINT (-97.5170536 35.4729886)
2.0,Michigan State,"St. Louis, MO",2016.0,201655,Michigan State University,Spartans,East Lansing,Michigan,State,Big Ten Conference,412.22373511,"St. Louis, MO",-90.24111656024635,38.6529545,POINT (-90.24111656024635 38.6529545)
3.0,West Virginia,"Brooklyn, NY",2016.0,201656,West Virginia University,Mountaineers,Morgantown,West Virginia,State,Big 12 Conference,325.90287579,"Brooklyn, NY",-73.9495823,40.6501038,POINT (-73.9495823 40.6501038)
3.0,Miami (FL),"Providence, RI",2016.0,201657,University of Miami,Hurricanes,Coral Gables,Florida,Private/Non-Sectarian,Atlantic Coast Conference,1222.12491022,"Providence, RI",-71.4128343,41.8239891,POINT (-71.4128343 41.8239891)
3.0,Texas A&M,"Oklahoma City, OK",2016.0,201658,Texas A&M University,Aggies,College Station,Texas,State,Southeastern Conference,347.92426402999996,"Oklahoma City, OK",-97.5170536,35.4729886,POINT (-97.5170536 35.4729886)
3.0,Utah,"Denver, CO",2016.0,201659,University of Utah,Utes,Salt Lake City,Utah,State,Pac-12 Conference,368.08153927,"Denver, CO",-104.98486229999999,39.7392364,POINT (-104.9848623 39.7392364)
4.0,Kentucky,"Des Moines, IA",2016.0,201660,University of Kentucky,Wildcats,Lexington,Kentucky,State,Southeastern Conference,541.69259667,"Des Moines, IA",-93.60371490000001,41.5910641,POINT (-93.60371490000001 41.5910641)
4.0,California,"Spokane, WA",2016.0,201661,"University of California, Berkeley",Golden Bears,Berkeley,California,State,Pac-12 Conference,719.11887201,"Spokane, WA",-117.42122649999999,47.6579425,POINT (-117.4212265 47.6579425)
4.0,Duke,"Providence, RI",2016.0,201662,Duke University,Blue Devils,Durham,North Carolina,Private/Non-sectarian,Atlantic Coast Conference,570.39993687,"Providence, RI",-71.4128343,41.8239891,POINT (-71.4128343 41.8239891)
4.0,Iowa State,"Denver, CO",2016.0,201663,Iowa State University,Cyclones,Ames,Iowa,State,Big 12 Conference,612.60345519,"Denver, CO",-104.98486229999999,39.7392364,POINT (-104.9848623 39.7392364)
1.0,Villanova,"Pittsburgh, PA",2015.0,201564,Villanova University,Wildcats,Radnor Township,Pennsylvania,Private/Catholic,Big East Conference,246.82098862,"Pittsburgh, PA",-79.99008609999998,40.4416941,POINT (-79.99008609999998 40.4416941)
1.0,Kentucky,"Louisville, KY",2015.0,201565,University of Kentucky,Wildcats,Lexington,Kentucky,State,Southeastern Conference,69.96016089,"Louisville, KY",-85.759407,38.254237599999996,POINT (-85.759407 38.2542376)
1.0,Duke,"Charlotte, NC",2015.0,201566,Duke University,Blue Devils,Durham,North Carolina,Private/Non-sectarian,Atlantic Coast Conference,119.28459087,"Charlotte, NC",-80.8431268,35.2270869,POINT (-80.84312679999999 35.2270869)
1.0,Wisconsin,"Omaha, NE",2015.0,201567,University of Wisconsin–Madison,Badgers,Madison,Wisconsin,State,Big Ten Conference,357.07705885999997,"Omaha, NE",-95.93837579999999,41.258745899999994,POINT (-95.93837579999999 41.25874589999999)
2.0,Virginia,"Charlotte, NC",2015.0,201568,University of Virginia,Cavaliers,Charlottesville,Virginia,State,Atlantic Coast Conference,233.64792341999998,"Charlotte, NC",-80.8431268,35.2270869,POINT (-80.84312679999999 35.2270869)
2.0,Kansas,"Omaha, NE",2015.0,201569,University of Kansas,Jayhawks,Lawrence,Kansas,State,Big 12 Conference,163.09746008000002,"Omaha, NE",-95.93837579999999,41.258745899999994,POINT (-95.93837579999999 41.25874589999999)
2.0,Gonzaga,"Seattle, WA",2015.0,201570,Gonzaga University,Bulldogs,Spokane,Washington,Private/Catholic,West Coast Conference,229.39774578,"Seattle, WA",-122.3300624,47.6038321,POINT (-122.3300624 47.6038321)
2.0,Arizona,"Portland, OR",2015.0,201571,University of Arizona,Wildcats,Tucson,Arizona,State,Pac-12 Conference,1110.61988427,"Portland, OR",-122.6741949,45.5202471,POINT (-122.6741949 45.5202471)
3.0,Oklahoma,"Columbus, OH",2015.0,201572,University of Oklahoma,Sooners,Norman,Oklahoma,State,Big 12 Conference,855.47873796,"Columbus, OH",-83.00070649999999,39.9622601,POINT (-83.00070649999999 39.9622601)
3.0,Notre Dame,"Pittsburgh, PA",2015.0,201573,University of Notre Dame,Fighting Irish,South Bend,Indiana,Private/Catholic,Atlantic Coast Conference,336.85764652,"Pittsburgh, PA",-79.99008609999998,40.4416941,POINT (-79.99008609999998 40.4416941)
3.0,Iowa State,"Louisville, KY",2015.0,201574,Iowa State University,Cyclones,Ames,Iowa,State,Big 12 Conference,491.05707387999996,"Louisville, KY",-85.759407,38.254237599999996,POINT (-85.759407 38.2542376)
3.0,Baylor,"Jacksonville, FL",2015.0,201575,Baylor University,Bears,Waco,Texas,Private/Baptist,Big 12 Conference,918.9455719000001,"Jacksonville, FL",-81.655651,30.3321838,POINT (-81.65565100000001 30.3321838)
4.0,Louisville,"Seattle, WA",2015.0,201576,University of Louisville,Cardinals,Louisville,Kentucky,State,Atlantic Coast Conference,1940.0445361999998,"Seattle, WA",-122.3300624,47.6038321,POINT (-122.3300624 47.6038321)
4.0,Maryland,"Columbus, OH",2015.0,201577,"University of Maryland, College Park",Terrapins,College Park,Maryland,State,Big Ten Conference,329.71809373,"Columbus, OH",-83.00070649999999,39.9622601,POINT (-83.00070649999999 39.9622601)
4.0,Georgetown,"Portland, OR",2015.0,201578,Georgetown University,Hoyas,Washington,District of Columbia,Private/Catholic,Big East Conference,2345.15357336,"Portland, OR",-122.6741949,45.5202471,POINT (-122.6741949 45.5202471)
4.0,North Carolina,"Jacksonville, FL",2015.0,201579,University of North Carolina at Chapel Hill,Tar Heels,Chapel Hill,North Carolina,State,Atlantic Coast Conference,413.51618679,"Jacksonville, FL",-81.655651,30.3321838,POINT (-81.65565100000001 30.3321838)
1.0,Wichita State,"St. Louis, MO",2014.0,201480,Wichita State University,Shockers,Wichita,Kansas,State,American Athletic Conference,388.28852419,"St. Louis, MO",-90.24111656024635,38.6529545,POINT (-90.24111656024635 38.6529545)
1.0,Florida,"Orlando, FL",2014.0,201481,University of Florida,Gators,Gainesville,Florida,State,Southeastern Conference,95.4425856,"Orlando, FL",-81.3790304,28.5421109,POINT (-81.3790304 28.5421109)
1.0,Virginia,"Raleigh, NC",2014.0,201482,University of Virginia,Cavaliers,Charlottesville,Virginia,State,Atlantic Coast Conference,156.36801215,"Raleigh, NC",-78.63909890000001,35.7803977,POINT (-78.63909890000001 35.7803977)
1.0,Arizona,"San Diego, CA",2014.0,201483,University of Arizona,Wildcats,Tucson,Arizona,State,Pac-12 Conference,362.09773654,"San Diego, CA",-117.16277140000001,32.7174209,POINT (-117.1627714 32.7174209)
2.0,Michigan,"Milwaukee, WI",2014.0,201484,University of Michigan,Wolverines,Ann Arbor,Michigan,State,Big Ten Conference,220.0274711,"Milwaukee, WI",-87.92249699999999,43.0349931,POINT (-87.92249699999999 43.0349931)
2.0,Kansas,"St. Louis, MO",2014.0,201485,University of Kansas,Jayhawks,Lawrence,Kansas,State,Big 12 Conference,270.3585221,"St. Louis, MO",-90.24111656024635,38.6529545,POINT (-90.24111656024635 38.6529545)
2.0,Villanova,"Buffalo, NY",2014.0,201486,Villanova University,Wildcats,Radnor Township,Pennsylvania,Private/Catholic,Big East Conference,268.96043735,"Buffalo, NY",-78.87839220000001,42.8867166,POINT (-78.87839220000001 42.8867166)
2.0,Wisconsin,"Milwaukee, WI",2014.0,201487,University of Wisconsin–Madison,Badgers,Madison,Wisconsin,State,Big Ten Conference,74.9373426,"Milwaukee, WI",-87.92249699999999,43.0349931,POINT (-87.92249699999999 43.0349931)
3.0,Duke,"Raleigh, NC",2014.0,201488,Duke University,Blue Devils,Durham,North Carolina,Private/Non-sectarian,Atlantic Coast Conference,22.85402538,"Raleigh, NC",-78.63909890000001,35.7803977,POINT (-78.63909890000001 35.7803977)
3.0,Syracuse,"Buffalo, NY",2014.0,201489,Syracuse University,Orange,Syracuse,New York,Private/Methodist,Atlantic Coast Conference,139.187104,"Buffalo, NY",-78.87839220000001,42.8867166,POINT (-78.87839220000001 42.8867166)
3.0,Iowa State,"San Antonio, TX",2014.0,201490,Iowa State University,Cyclones,Ames,Iowa,State,Big 12 Conference,911.88679734,"San Antonio, TX",-98.4951405,29.424600199999997,POINT (-98.49514050000001 29.4246002)
3.0,Creighton,"San Antonio, TX",2014.0,201491,Creighton University,Bluejays,Omaha,Nebraska,Private/Catholic,Big East Conference,830.5866157,"San Antonio, TX",-98.4951405,29.424600199999997,POINT (-98.49514050000001 29.4246002)
4.0,Louisville,"Orlando, FL",2014.0,201492,University of Louisville,Cardinals,Louisville,Kentucky,State,Atlantic Coast Conference,714.34052902,"Orlando, FL",-81.3790304,28.5421109,POINT (-81.3790304 28.5421109)
4.0,UCLA,"San Diego, CA",2014.0,201493,"University of California, Los Angeles",Bruins,Los Angeles,California,State,Pac-12 Conference,119.29080458,"San Diego, CA",-117.16277140000001,32.7174209,POINT (-117.1627714 32.7174209)
4.0,Michigan State,"Spokane, WA",2014.0,201494,Michigan State University,Spartans,East Lansing,Michigan,State,Big Ten Conference,1627.0910320500002,"Spokane, WA",-117.42122649999999,47.6579425,POINT (-117.4212265 47.6579425)
4.0,San Diego State,"Spokane, WA",2014.0,201495,San Diego State University,Aztecs,San Diego,California,State,Mountain West Conference,1028.48706549,"Spokane, WA",-117.42122649999999,47.6579425,POINT (-117.4212265 47.6579425)
1.0,Indiana,"Dayton, OH",2013.0,201396,Indiana University,Hoosiers,Bloomington,Indiana,State,Big Ten Conference,130.32013983,"Dayton, OH",-84.1916069,39.758947799999994,POINT (-84.1916069 39.75894779999999)
1.0,Louisville,"Lexington, KY",2013.0,201397,University of Louisville,Cardinals,Louisville,Kentucky,State,Atlantic Coast Conference,69.49413264,"Lexington, KY",-84.4970393,38.0464066,POINT (-84.4970393 38.0464066)
1.0,Gonzaga,"Salt Lake City, UT",2013.0,201398,Gonzaga University,Bulldogs,Spokane,Washington,Private/Catholic,West Coast Conference,549.55293982,"Salt Lake City, UT",-111.88679750000001,40.759619799999996,POINT (-111.8867975 40.7596198)
1.0,Kansas,"Kansas City, MO",2013.0,201399,University of Kansas,Jayhawks,Lawrence,Kansas,State,Big 12 Conference,37.25740516,"Kansas City, MO",-94.5781416,39.100105,POINT (-94.5781416 39.100105)
2.0,Miami (FL),"Austin, TX",2013.0,2013100,University of Miami,Hurricanes,Coral Gables,Florida,Private/Non-Sectarian,Atlantic Coast Conference,1109.63190438,"Austin, TX",-97.7436995,30.2711286,POINT (-97.74369950000001 30.2711286)
2.0,Duke,"Philadelphia, PA",2013.0,2013101,Duke University,Blue Devils,Durham,North Carolina,Private/Non-sectarian,Atlantic Coast Conference,341.94667501,"Philadelphia, PA",-75.16352619999999,39.9527237,POINT (-75.16352619999999 39.9527237)
2.0,Ohio State,"Dayton, OH",2013.0,2013102,The Ohio State University,Buckeyes,Columbus,Ohio,State,Big Ten Conference,63.97014445,"Dayton, OH",-84.1916069,39.758947799999994,POINT (-84.1916069 39.75894779999999)
2.0,Georgetown,"Philadelphia, PA",2013.0,2013103,Georgetown University,Hoyas,Washington,District of Columbia,Private/Catholic,Big East Conference,124.90799842000001,"Philadelphia, PA",-75.16352619999999,39.9527237,POINT (-75.16352619999999 39.9527237)
3.0,Marquette,"Lexington, KY",2013.0,2013104,Marquette University,Golden Eagles,Milwaukee,Wisconsin,Private/Catholic,Big East Conference,389.15222988,"Lexington, KY",-84.4970393,38.0464066,POINT (-84.4970393 38.0464066)
3.0,Michigan State,"Auburn Hills, MI",2013.0,2013105,Michigan State University,Spartans,East Lansing,Michigan,State,Big Ten Conference,63.1934307,"Auburn Hills, MI",-83.23410279999999,42.6875323,POINT (-83.23410279999999 42.6875323)
3.0,New Mexico,"Salt Lake City, UT",2013.0,2013106,University of New Mexico,Lobos,Albuquerque,New Mexico,State,Mountain West Conference,485.61386392,"Salt Lake City, UT",-111.88679750000001,40.759619799999996,POINT (-111.8867975 40.7596198)
3.0,Florida,"Austin, TX",2013.0,2013107,University of Florida,Gators,Gainesville,Florida,State,Southeastern Conference,921.95922125,"Austin, TX",-97.7436995,30.2711286,POINT (-97.74369950000001 30.2711286)
4.0,Syracuse,"San Jose, CA",2013.0,2013108,Syracuse University,Orange,Syracuse,New York,Private/Methodist,Atlantic Coast Conference,2416.71687143,"San Jose, CA",-121.89058329999999,37.3361905,POINT (-121.8905833 37.3361905)
4.0,Saint Louis,"San Jose, CA",2013.0,2013109,Saint Louis University,Billikens,St. Louis,Missouri,Private/Catholic,Atlantic 10 Conference,1717.82983918,"San Jose, CA",-121.89058329999999,37.3361905,POINT (-121.8905833 37.3361905)
4.0,Kansas State,"Kansas City, MO",2013.0,2013110,Kansas State University,Wildcats,Manhattan,Kansas,State,Big 12 Conference,107.96942496,"Kansas City, MO",-94.5781416,39.100105,POINT (-94.5781416 39.100105)
4.0,Michigan,"Auburn Hills, MI",2013.0,2013111,University of Michigan,Wolverines,Ann Arbor,Michigan,State,Big Ten Conference,36.41855431,"Auburn Hills, MI",-83.23410279999999,42.6875323,POINT (-83.23410279999999 42.6875323)
1.0,North Carolina,"Greensboro, NC",2012.0,2012112,University of North Carolina at Chapel Hill,Tar Heels,Chapel Hill,North Carolina,State,Atlantic Coast Conference,43.1852845,"Greensboro, NC",-79.79197540000001,36.0726355,POINT (-79.79197540000001 36.0726355)
1.0,Kentucky,"Louisville, KY",2012.0,2012113,University of Kentucky,Wildcats,Lexington,Kentucky,State,Southeastern Conference,69.96016089,"Louisville, KY",-85.759407,38.254237599999996,POINT (-85.759407 38.2542376)
1.0,Michigan State,"Columbus, OH",2012.0,2012114,Michigan State University,Spartans,East Lansing,Michigan,State,Big Ten Conference,205.26990985,"Columbus, OH",-83.00070649999999,39.9622601,POINT (-83.00070649999999 39.9622601)
1.0,Syracuse,"Pittsburgh, PA",2012.0,2012115,Syracuse University,Orange,Syracuse,New York,Private/Methodist,Atlantic Coast Conference,267.76119132,"Pittsburgh, PA",-79.99008609999998,40.4416941,POINT (-79.99008609999998 40.4416941)
2.0,Kansas,"Omaha, NE",2012.0,2012116,University of Kansas,Jayhawks,Lawrence,Kansas,State,Big 12 Conference,163.09746008000002,"Omaha, NE",-95.93837579999999,41.258745899999994,POINT (-95.93837579999999 41.25874589999999)
2.0,Duke,"Greensboro, NC",2012.0,2012117,Duke University,Blue Devils,Durham,North Carolina,Private/Non-sectarian,Atlantic Coast Conference,47.628087150000006,"Greensboro, NC",-79.79197540000001,36.0726355,POINT (-79.79197540000001 36.0726355)
2.0,Missouri,"Omaha, NE",2012.0,2012118,University of Missouri,Tigers,Columbia,Missouri,State,Southeastern Conference,249.20705326,"Omaha, NE",-95.93837579999999,41.258745899999994,POINT (-95.93837579999999 41.25874589999999)
2.0,Ohio State,"Pittsburgh, PA",2012.0,2012119,The Ohio State University,Buckeyes,Columbus,Ohio,State,Big Ten Conference,163.09746008000002,"Pittsburgh, PA",-79.99008609999998,40.4416941,POINT (-79.99008609999998 40.4416941)
