school_x,school_y,common_name,team,city,state,type,conference
Boston College,Boston College,Boston College,Eagles,Chestnut Hill,Massachusetts,Private/Catholic,Atlantic Coast Conference
Illinois,University of Illinois at Urbana–Champaign,Illinois,Fighting Illini,Urbana–Champaign,Illinois,State,Big Ten Conference
Wake Forest,Wake Forest University,Wake Forest,Demon Deacons,Winston-Salem,North Carolina,Private/Non-Sectarian,Atlantic Coast Conference
Oklahoma State,Oklahoma State University–Stillwater,Oklahoma State,Cowboys,Stillwater,Oklahoma,State,Big 12 Conference
Saint Joseph's,Saint Joseph's University,Saint Joseph's,Hawks,Philadelphia,Pennsylvania,Private/Catholic,Atlantic 10 Conference
Mississippi State,Mississippi State University,Mississippi State,Bulldogs,Starkville,Mississippi,State,Southeastern Conference
Georgia Tech,Georgia Institute of Technology,Georgia Tech,Yellow Jackets,Atlanta,Georgia,State,Atlantic Coast Conference
NC State,North Carolina State University,NC State,Wolfpack,Raleigh,North Carolina,State,Atlantic Coast Conference
Dayton,University of Dayton,Dayton,Flyers,Dayton,Ohio,Private/Catholic,Atlantic 10 Conference
Alabama,University of Alabama,Alabama,Crimson Tide,Tuscaloosa,Alabama,State,Southeastern Conference
Georgia,University of Georgia,Georgia,Bulldogs,Athens,Georgia,State,Southeastern Conference
USC,University of Southern California,USC,Trojans,Los Angeles,California,Private/Non-Sectarian,Pac-12 Conference
Ole Miss,University of Mississippi,Ole Miss,Rebels,Oxford,Mississippi,State,Southeastern Conference
Temple,Temple University,Temple,Owls,Philadelphia,Pennsylvania,State-related,American Athletic Conference
St. John's,St. John's University,St. John's,Red Storm,Jamaica,New York,Private/Catholic,Big East Conference
Arkansas,University of Arkansas,Arkansas,Razorbacks,Fayetteville,Arkansas,State,Southeastern Conference
South Carolina,University of South Carolina,South Carolina,Gamecocks,Columbia,South Carolina,State,Southeastern Conference
Minnesota,University of Minnesota,Minnesota,Golden Gophers,Minneapolis–Saint Paul,Minnesota,State,Big Ten Conference
Clemson,Clemson University,Clemson,Tigers,Clemson,South Carolina,State,Atlantic Coast Conference
UMass,University of Massachusetts Amherst,UMass,Minutemen,Amherst,Massachusetts,State,Atlantic 10 Conference
Seton Hall,Seton Hall University,Seton Hall,Pirates,South Orange,New Jersey,Private/Catholic,Big East Conference
UNLV,"University of Nevada, Las Vegas",UNLV,Rebels,Paradise,Nevada,State,Mountain West Conference
Nebraska,University of Nebraska–Lincoln,Nebraska,Cornhuskers,Lincoln,Nebraska,State,Big Ten Conference
La Salle,La Salle University,La Salle,Explorers,Philadelphia,Pennsylvania,Private/Catholic,Atlantic 10 Conference
DePaul,DePaul University,DePaul,Blue Demons,Chicago,Illinois,Private/Catholic,Big East Conference
TCU,Texas Christian University,TCU,Horned Frogs,Fort Worth,Texas,Private/Disciples of Christ,Big 12 Conference
VCU,Virginia Commonwealth University,VCU,Rams,Richmond,Virginia,State,Atlantic 10 Conference
Loyola–Chicago,Loyola University Chicago,Loyola–Chicago,Ramblers,Chicago,Illinois,Private/Catholic,Missouri Valley Conference
