school_common_name,school_full_name,team,city,state,type,conference,address,lng,lat,key_0,count_dist,mean_dist,std_dist,min_dist,25%_dist,50%_dist,75%_dist,max_dist,count_wtDist,mean_wtDist,std_wtDist,min_wtDist,25%_wtDist,50%_wtDist,75%_wtDist,max_wtDist
Auburn,Auburn University,Tigers,Auburn,Alabama,State,Southeastern Conference,Auburn University Auburn Alabama,-85.49598606691626,32.59196300000001,Auburn,2.0,1166.1953065100001,946.090007236841,497.20864678,831.7019766450001,1166.1953065100001,1500.688636375,1835.18196624,2.0,643.1684461315999,206.41832780428842,497.20864678,570.1885464558,643.1684461315999,716.1483458074,789.1282454832
Saint Joseph's,Saint Joseph's University,Hawks,Philadelphia,Pennsylvania,Private/Catholic,Atlantic 10 Conference,Saint Joseph's University Philadelphia Pennsylvania,-75.24151166935775,39.99652965,Saint Joseph's,2.0,1094.9240528100001,1160.303210532425,274.46578441,684.6949186100001,1094.9240528100001,1505.1531870100002,1915.38232121,2.0,549.0400912651501,388.306708633745,274.46578441,411.752937837575,549.0400912651501,686.3272446927251,823.6143981203
Maryland,"University of Maryland, College Park",Terrapins,College Park,Maryland,State,Big Ten Conference,"University of Maryland, College Park College Park Maryland",-76.94610290199051,38.99203005,Maryland,11.0,1132.676295239091,862.8864721394331,8.28908914,308.53555633999997,932.29262098,1943.74169365,2374.85510716,11.0,542.7098092411364,397.07812244145214,8.28908914,132.6702892262,551.0288202192,920.6130209785,1041.9234055827
NC State,North Carolina State University,Wolfpack,Raleigh,North Carolina,State,Atlantic Coast Conference,North Carolina State University Raleigh North Carolina,-78.67408695452633,35.77184965,NC State,3.0,1043.36890094,523.3170199155566,523.91517236,779.820605,1035.72603764,1303.0957652299999,1570.46549282,3.0,532.1181394794,266.8916801569339,267.1967379036,397.70850855000003,528.2202791964,664.5788402673,800.9374013382001
UCLA,"University of California, Los Angeles",Bruins,Los Angeles,California,State,Pac-12 Conference,University of California Los Angeles California,-118.44667592924029,34.0709515,UCLA,12.0,910.8439296783334,889.3944547019489,34.73463889999999,295.906190765,480.90387174,1857.4814180025,2341.325928,12.0,504.7512104444167,451.3751564241457,34.73463889999999,157.1749245306,315.9178166426,819.589855824675,1426.8383202024
New Mexico,University of New Mexico,Lobos,Albuquerque,New Mexico,State,Mountain West Conference,University of New Mexico Albuquerque New Mexico,-106.62020940505188,35.08663275,New Mexico,4.0,1021.5339240000001,441.26301091348904,485.61386392,769.6627425774999,1052.9504417599999,1304.8216231825,1494.62094856,4.0,496.15119761219995,213.7311715875739,247.66307059919998,392.5279987145249,487.34251804199994,590.965716939675,762.2566837656
Arizona,University of Arizona,Wildcats,Tucson,Arizona,State,Pac-12 Conference,University of Arizona Tucson Arizona,-110.9768841153795,32.22877495,Arizona,20.0,717.9075092455,409.01200431421387,0.42253228,436.882843245,663.9784094699999,885.6059108950001,1540.12394689,20.0,478.14748862513005,238.65252339336465,0.42253228,361.47456356410004,432.6260790724,654.5036823249,836.29080148
Michigan,University of Michigan,Wolverines,Ann Arbor,Michigan,State,Big Ten Conference,University of Michigan Ann Arbor Michigan,-83.71003893509602,42.294214200000006,Michigan,13.0,747.1479618646155,585.311213294673,36.41855431,454.22841471,591.56383313,787.12792796,1951.65796019,13.0,466.71203532706147,435.74772011868373,15.659978353299998,195.3182183253,367.550888436,401.4352432596,1643.37095225
Indiana,Indiana University,Hoosiers,Bloomington,Indiana,State,Big Ten Conference,Indiana University Bloomington Indiana,-86.51623218881414,39.17798065,Indiana,10.0,829.683142266,762.8987143169322,45.03697008,89.393538915,674.5976398600001,1532.2154474874997,1880.62904118,10.0,463.58976028872996,428.1773225098258,45.03697008,73.4857578069,314.14790348620005,795.934230786125,1123.2548421839997
Missouri,University of Missouri,Tigers,Columbia,Missouri,State,Southeastern Conference,University of Missouri Columbia Missouri,-92.32970301784542,38.93641465,Missouri,6.0,702.4682004466667,411.15238784680304,249.20705326,374.34806580500003,653.3591790800001,989.4168104375001,1276.10340899,6.0,448.11912610655,348.0173479636593,143.8869056956,197.49690039405002,333.21318133080007,591.791052970425,1048.15967135
UConn,University of Connecticut,Huskies,Storrs,Connecticut,State,American Athletic Conference,University of Connecticut Storrs Connecticut,-72.25401403745809,41.81127235,UConn,13.0,575.5501465046154,651.5719804491482,22.73596489,198.95056678,322.42319819,740.052861,2040.58857771,13.0,446.06022524749227,543.9989716714181,22.73596489,164.4358310769,232.14470269679998,480.3239461857,1708.17373384
Wichita State,Wichita State University,Shockers,Wichita,Kansas,State,American Athletic Conference,Wichita State University Wichita Kansas,-97.2933776,37.71918,Wichita State,2.0,779.6155525700001,553.4199908581571,388.28852419,583.95203838,779.6155525700001,975.2790667600001,1170.94258095,2.0,445.89691699925004,81.47057041735809,388.28852419,417.092720594625,445.89691699925004,474.70111340387507,503.50530980850004
Iowa,University of Iowa,Hawkeyes,Iowa City,Iowa,State,Big Ten Conference,University of Iowa Iowa City Iowa,-91.57318762552627,41.66590100000001,Iowa,4.0,794.72729529,412.1394730044817,432.59849019999996,452.65634608,748.152431985,1090.223381195,1250.00582699,4.0,441.010129235475,325.8617908557002,197.5171881572,214.84821954080002,333.25956667595,559.421476370625,900.0041954328
BYU,Brigham Young University,Cougars,Provo,Utah,Private/Latter-Day Saints,West Coast Conference,Brigham Young University Provo Utah,-111.64965660160264,40.25501105,BYU,2.0,958.63253767,854.401097067988,354.4797280800001,656.556132875,958.63253767,1260.708942465,1562.78534726,2.0,426.3911803213,347.3400701777523,180.78466132080004,303.58792082105003,426.3911803213,549.19443982155,671.9976993217999
Creighton,Creighton University,Bluejays,Omaha,Nebraska,Private/Catholic,Big East Conference,Creighton University Omaha Nebraska,-95.94506420758655,41.26611060000001,Creighton,1.0,830.5866157,,830.5866157,830.5866157,830.5866157,830.5866157,830.5866157,1.0,423.59917400700004,,423.59917400700004,423.59917400700004,423.59917400700004,423.59917400700004,423.59917400700004
TCU,Texas Christian University,Horned Frogs,Fort Worth,Texas,Private/Disciples of Christ,Big 12 Conference,Texas Christian University Fort Worth Texas,-97.36119385339882,32.7080148,TCU,1.0,961.21122732,,961.21122732,961.21122732,961.21122732,961.21122732,961.21122732,1.0,413.3208277476,,413.3208277476,413.3208277476,413.3208277476,413.3208277476,413.3208277476
Minnesota,University of Minnesota,Golden Gophers,Minneapolis–Saint Paul,Minnesota,State,Big Ten Conference,University of Minnesota St. Paul Minnesota,-93.17945580218505,44.9863392,Minnesota,1.0,412.9631666,,412.9631666,412.9631666,412.9631666,412.9631666,412.9631666,1.0,412.9631666,,412.9631666,412.9631666,412.9631666,412.9631666,412.9631666
Boston College,Boston College,Eagles,Chestnut Hill,Massachusetts,Private/Catholic,Atlantic Coast Conference,Boston College Chestnut Hill Massachusetts,-71.16813864023061,42.3354481,Boston College,3.0,933.5022231933332,1017.4243414808024,168.54067004,356.166750345,543.79283065,1315.9829997699999,2088.17316889,3.0,405.9003738408667,432.46406156943056,85.95574172040001,159.89332944995002,233.8309171795,565.8726899011,897.9144626227
Louisville,University of Louisville,Cardinals,Louisville,Kentucky,State,Atlantic Coast Conference,University of Louisville Louisville Kentucky,-85.75725134140214,38.2167565,Louisville,14.0,826.5601316200001,758.417796153829,69.49413264,120.15451027,522.016883955,1402.1966725925004,1946.63728251,14.0,402.45408309647854,375.643128875328,47.0173415941,71.8022773566,237.65498965625002,776.067353282975,1010.3253853536002
Texas,University of Texas at Austin,Longhorns,Austin,Texas,State,Big 12 Conference,University of Texas at Austin Austin Texas,-97.73195598080221,30.284151,Texas,6.0,680.45716839,492.1000468758145,180.77546503,424.48027808500007,561.34034769,747.77650253,1590.5047075700004,6.0,397.5403759135834,239.15859398147936,130.1583348216,214.726477427625,356.45727235605,607.191422519925,683.9170242551002
Wake Forest,Wake Forest University,Demon Deacons,Winston-Salem,North Carolina,Private/Non-Sectarian,Atlantic Coast Conference,Wake Forest University Winston-Salem North Carolina,-80.2781152,36.134335,Wake Forest,6.0,623.9766157266668,592.9430497571776,94.87092428,316.82619890750004,479.31626883499996,614.71611659,1767.84399097,6.0,396.62418508645004,286.51078635787826,40.7944974404,278.5998278101,356.8172015078,442.5956039447999,901.6004353947001
Iowa State,Iowa State University,Cyclones,Ames,Iowa,State,Big 12 Conference,Iowa State University Ames Iowa,-93.64464414737448,42.02791015,Iowa State,5.0,673.0032018740001,365.9747810315176,204.66717998,491.05707388,612.60345519,911.88679734,1144.80150298,5.0,390.10766235701993,268.6016375680224,147.36036958559998,250.4391076788,263.4194857317,465.06226664340005,824.2570821455998
Utah,University of Utah,Utes,Salt Lake City,Utah,State,Pac-12 Conference,University of Utah Salt Lake City Utah,-111.8368719136826,40.7628137,Utah,7.0,653.4932176814285,420.8584836449013,297.89768482,332.989612045,591.9801517000002,794.2333053450001,1430.12885247,7.0,372.3863620510857,314.7389952447247,128.0960044726,169.82470214295,254.55146523100007,427.35744329485004,1029.6927737784001
LSU,Louisiana State University,Tigers,Baton Rouge,Louisiana,State,Southeastern Conference,Louisiana State University Baton Rouge Louisiana,-91.18596767189877,30.40570885,LSU,4.0,813.33114303,375.3940604793152,567.9828036800002,567.9828036800002,662.508867055,907.8572064049998,1360.32403433,4.0,361.0920475765,152.893954326648,244.23260558240008,278.3115738032001,307.59812498085,390.37859875414995,584.9393347619
Texas Tech,Texas Tech University,Red Raiders,Lubbock,Texas,State,Big 12 Conference,Texas Tech University Lubbock Texas,-101.89959552302756,33.59375255,Texas Tech,3.0,692.2072940000002,612.1446416925902,300.3893825300001,339.50779383500003,378.62620514,888.1162497350001,1397.60629433,3.0,353.02571994000004,312.19376726322105,153.19858509030004,173.14897485585004,193.0993646214,452.93928736485003,712.7792101083
San Diego State,San Diego State University,Aztecs,San Diego,California,State,Mountain West Conference,San Diego State University San Diego California,-117.07385052563076,32.77481589999999,San Diego State,2.0,692.943618635,474.53009330775694,357.40017178,525.1718952075,692.943618635,860.7153420625001,1028.48706549,2.0,349.78878092115,130.75911545410173,257.3281236816,303.55845230137504,349.78878092115,396.019109540925,442.24943816070004
Florida State,Florida State University,Seminoles,Tallahassee,Florida,State,Atlantic Coast Conference,Florida State University Tallahassee Florida,-84.29747867166263,30.44235995,Florida State,6.0,709.4959064566666,680.5032949707311,219.17619283,269.4435533025,420.24563472000006,865.3911588375,1964.35878343,6.0,342.7226638271666,344.2394472749686,111.77985834329999,129.011299489875,197.51544831840005,380.523110994525,1001.8229795492999
Gonzaga,Gonzaga University,Bulldogs,Spokane,Washington,Private/Catholic,West Coast Conference,Gonzaga University Spokane Washington,-117.40304385396809,47.66673855000001,Gonzaga,9.0,483.63238084222223,279.9043701106084,229.39774578,285.78716403,549.55293982,549.55293982,1119.08295729,9.0,341.9927116969778,207.05702258576454,122.88848053289999,165.1663769616,280.2719993082,549.55293982,570.7323082179
Oklahoma State,Oklahoma State University–Stillwater,Cowboys,Stillwater,Oklahoma,State,Big 12 Conference,Oklahoma State University–Stillwater Stillwater Oklahoma,-97.08853714697358,36.12958010000001,Oklahoma State,7.0,631.0919054585713,503.6596093912229,51.33145831,149.14768113,737.20076811,1096.4836940199998,1137.84836149,7.0,339.3311291829714,249.75248422508037,22.0725270733,107.38633041359999,489.27479544069996,539.29618620285,570.6055485338998
Kentucky,University of Kentucky,Wildcats,Lexington,Kentucky,State,Southeastern Conference,University of Kentucky Lexington Kentucky,-84.50481984038481,38.02703575,Kentucky,22.0,440.05381243454553,338.097523597151,69.96016089,162.04423623499997,340.03906603999997,642.3981946399998,1468.1753988,22.0,336.6454737432228,316.50404598713715,53.4493392264,140.25365625294998,256.66384701405,391.7863458232,1468.1753988
Syracuse,Syracuse University,Orange,Syracuse,New York,Private/Methodist,Atlantic Coast Conference,Syracuse University Syracuse New York,-76.1333088275183,43.03830645,Syracuse,18.0,637.0930671244446,726.7172902853575,0.98176618,161.0143138025,293.377210795,1040.078741495,2416.71687143,18.0,334.2420612408444,334.0456526881622,0.7068716496,131.20149245640002,179.3860173369,534.114651105225,1039.1882547149
Pittsburgh,University of Pittsburgh,Panthers,Pittsburgh,Pennsylvania,State-related,Atlantic Coast Conference,University of Pittsburgh Pittsburgh Pennsylvania,-79.96243992762706,40.44415295,Pittsburgh,11.0,583.7656270800001,545.353261681539,1.46643556,208.65016809,447.48653936,678.4812086100001,1806.35035184,11.0,332.62156835287277,269.0579787534829,0.7478821356,208.53571155179998,228.2181350736,456.33824887195004,921.2386794384
Loyola–Chicago,Loyola University Chicago,Ramblers,Chicago,Illinois,Private/Catholic,Missouri Valley Conference,Loyola University Chicago Chicago Illinois,-87.66842176669064,41.94484179999999,Loyola–Chicago,1.0,769.9159512599998,,769.9159512599998,769.9159512599998,769.9159512599998,769.9159512599998,769.9159512599998,1.0,331.0638590417999,,331.0638590417999,331.0638590417999,331.0638590417999,331.0638590417999,331.0638590417999
Cincinnati,University of Cincinnati,Bearcats,Cincinnati,Ohio,State,American Athletic Conference,University of Cincinnati Cincinnati Ohio,-84.5157620959388,39.1318525,Cincinnati,10.0,480.11845879599997,481.5499341413732,46.65253468,239.49502453,255.672418515,681.616025305,1661.27886447,10.0,327.80460659034,345.2315014360922,20.0605899124,140.500946376675,214.5810300108,374.5340421453,1196.1207824183998
Washington State,Washington State University,Cougars,Pullman,Washington,State,Pac-12 Conference,Washington State University Pullman Washington,-117.14527589317328,46.73357155,Washington State,2.0,691.5859230000001,122.7351934376431,604.79903543,648.192479215,691.5859230000001,734.9793667850001,778.3728105700002,2.0,321.57390830720004,18.563533241575662,308.4475080693,315.01070818825,321.57390830720004,328.13710842615006,334.7003085451001
Mississippi State,Mississippi State University,Bulldogs,Starkville,Mississippi,State,Southeastern Conference,Mississippi State University Starkville Mississippi,-88.79345874498733,33.438723499999995,Mississippi State,2.0,509.71063130000005,62.75163000917953,465.33852819,487.524579745,509.71063130000005,531.8966828550001,554.0827344100002,2.0,318.13110907605005,114.28041966101767,237.3226493769,277.72687922647503,318.13110907605005,358.53533892562507,398.9395687752001
Arkansas,University of Arkansas,Razorbacks,Fayetteville,Arkansas,State,Southeastern Conference,University of Arkansas Fayetteville Arkansas,-94.17609533911696,36.06515200000001,Arkansas,7.0,524.66081756,185.14971191498134,191.70538092,450.27649515,576.8186992999998,613.1285136850001,777.2916250300002,7.0,313.5261507868715,129.57950882207643,191.70538092,234.63916550775005,298.4461690017,329.21723763545003,576.8186992999998
Michigan State,Michigan State University,Spartans,East Lansing,Michigan,State,Big Ten Conference,Michigan State University East Lansing Michigan,-84.47791570930522,42.71856800000001,Michigan State,12.0,477.0959031283334,435.86582798072703,63.1934307,173.197845685,440.0549422,603.2844436174998,1627.0910320500002,12.0,309.9534524687167,209.11791994723694,32.228649657,173.197845685,278.6928470488,441.54921518080005,699.6491437815001
North Carolina,University of North Carolina at Chapel Hill,Tar Heels,Chapel Hill,North Carolina,State,Atlantic Coast Conference,University of North Carolina at Chapel Hill Chapel Hill North Carolina,-79.04775326525106,35.90503535,North Carolina,26.0,456.92396990576924,602.275591663917,24.45716256,78.96693353500001,288.91266016,508.7987693575,2337.597702,26.0,309.54212000267694,347.6542953914589,24.45716256,71.17985002590001,187.53452128815002,388.7176430026,1296.1878595488
California,"University of California, Berkeley",Golden Bears,Berkeley,California,State,Pac-12 Conference,"University of California, Berkeley Berkeley California",-122.26639872292525,37.87094645,California,1.0,719.11887201,,719.11887201,719.11887201,719.11887201,719.11887201,719.11887201,1.0,309.2211149643,,309.2211149643,309.2211149643,309.2211149643,309.2211149643,309.2211149643
Purdue,Purdue University,Boilermakers,West Lafayette,Indiana,State,Big Ten Conference,Purdue University West Lafayette Indiana,-86.92391089364378,40.43195815,Purdue,12.0,498.4042681458334,499.6458820124407,61.14912011,106.19230390000001,224.92387458,791.5163606475,1582.8183482999998,12.0,308.2912902218083,326.2842442468599,44.0273664792,79.44467462835,191.3206279968,403.673343930225,1136.25143802
Oklahoma,University of Oklahoma,Sooners,Norman,Oklahoma,State,Big 12 Conference,University of Oklahoma Norman Oklahoma,-97.44570827599856,35.1959878,Oklahoma,15.0,496.38015211333345,331.3943822429659,19.55454537,241.89973030000004,417.52402974000006,803.54454978,991.84481762,15.0,305.37240512740004,210.67448316646784,14.0792726664,151.42432233690002,340.71636043,418.1504959822,749.77731715
Xavier,Xavier University,Musketeers,Cincinnati,Ohio,Private/Catholic,Big East Conference,Xavier University Cincinnati Ohio,-84.47083471474069,39.1513078,Xavier,5.0,571.6613199999999,613.5252075581873,241.90594401,241.90594401,312.11465330000004,399.33650057,1663.0435581099996,5.0,301.75417422181994,235.48885827314498,123.3720314451,203.6616152907,224.72255037600002,241.90594401,715.1087299872999
Georgetown,Georgetown University,Hoyas,Washington,District of Columbia,Private/Catholic,Big East Conference,Georgetown University Washington District of Columbia,-77.07457962060826,38.90893925,Georgetown,12.0,485.12401644833335,599.8540913463972,96.67911389,253.4867460225,342.01813267500006,410.7588529775,2345.15357336,12.0,290.8877603767833,259.76235742647594,69.60896200079999,165.456541684325,185.4591110796,317.62000036,1008.4160365447999
Baylor,Baylor University,Bears,Waco,Texas,Private/Baptist,Big 12 Conference,Baylor University Waco Texas,-97.1102905567766,31.55043405,Baylor,4.0,569.5067160575001,259.4757939217954,324.57935556,405.38865411,517.2509683850001,681.3690303325,918.9455719,4.0,290.448425189325,132.33265490011567,165.53547133560002,206.74821359610002,263.79799387635,347.498205469575,468.662241669
Kansas,University of Kansas,Jayhawks,Lawrence,Kansas,State,Big 12 Conference,University of Kansas Lawrence Kansas,-95.2477503,38.958058,Kansas,29.0,395.2502363144827,246.68626493409874,37.25740516,197.87559495,271.21601408000004,592.8500711,1004.27845133,29.0,289.5646004705414,175.3657990409105,16.0206842188,194.658135912,259.9492529709,382.6367821224,723.0804849576
Wisconsin,University of Wisconsin–Madison,Badgers,Madison,Wisconsin,State,Big Ten Conference,University of Wisconsin–Madison Madison Wisconsin,-89.4059387,43.07052570000001,Wisconsin,8.0,559.7698324874999,511.3718419484546,74.9373426,122.71455879,357.07705886,1002.1207405324999,1391.5168585299996,8.0,281.326823183525,205.02002689518588,53.95488667199999,88.35448232879999,269.5931794393,430.91191842897496,598.3522491678998
Memphis,University of Memphis,Tigers,Memphis,Tennessee,State,American Athletic Conference,University of Memphis Memphis Tennessee,-89.93721959965887,35.1189387,Memphis,5.0,350.532779488,134.1902257372379,134.14157148,330.92976718000006,375.46342675,425.05504626,487.07408577,5.0,269.79956160324,121.7143913115987,134.14157148,168.77418126180004,270.33366725999997,350.69334175439997,425.05504626
Georgia Tech,Georgia Institute of Technology,Yellow Jackets,Atlanta,Georgia,State,Atlantic Coast Conference,Georgia Institute of Technology Atlanta Georgia,-84.39884086001581,33.776033,Georgia Tech,6.0,537.3885668766667,543.9578399937794,1.9262501,215.8130222925,431.09477238,615.2877779099999,1539.47772105,6.0,267.6278036786666,236.7077114678821,1.386900072,100.864498068975,268.0475190768,337.89135931559997,661.9754200514999
South Carolina,University of South Carolina,Gamecocks,Columbia,South Carolina,State,Southeastern Conference,University of South Carolina Columbia South Carolina,-81.0268516571211,33.992829799999996,South Carolina,2.0,426.97508265,31.432933838794924,404.74864198,415.861862315,426.97508265,438.088302985,449.20152332,2.0,264.9234521001,82.73381934215418,206.4218074098,235.67262975494998,264.9234521001,294.17427444525,323.42509679039995
Kansas State,Kansas State University,Wildcats,Manhattan,Kansas,State,Big 12 Conference,Kansas State University Manhattan Kansas,-96.58844409645442,39.2087029,Kansas State,5.0,515.536605796,508.31878087463537,107.96942496,263.10090882000003,263.10090882000003,569.43681182,1374.07497456,5.0,252.2004459154,203.07714912670556,46.4268527328,189.4326543504,189.4326543504,244.8578290826,590.8522390608
Oregon,University of Oregon,Ducks,Eugene,Oregon,State,Pac-12 Conference,University of Oregon Eugene Oregon,-123.07682891244707,44.04426385,Oregon,5.0,375.999048552,9.352513336921852,369.16893852,369.16893852,369.16893852,386.2442136,386.2442136,5.0,244.16032770767998,79.45188191092014,188.27615864519998,188.27615864519998,196.984548936,278.095833792,369.16893852
Florida,University of Florida,Gators,Gainesville,Florida,State,Southeastern Conference,University of Florida Gainesville Florida,-82.34901330482433,29.6328784,Florida,11.0,384.42642098363643,318.60679118258497,63.6905275,106.03074744,463.39985067,491.153386385,921.95922125,11.0,241.57844760003638,188.54546303007487,32.482169025000005,83.9656146816,223.129976503,463.39985067,470.1992028375
UMass,University of Massachusetts Amherst,Minutemen,Amherst,Massachusetts,State,Atlantic 10 Conference,University of Massachusetts Amherst Amherst Massachusetts,-72.52991477067445,42.3869382,UMass,5.0,340.872945922,563.1054687636689,38.1521794,65.00162031,69.22072940000001,189.21368321,1342.77651729,5.0,239.75551568062002,407.4185374783035,19.457611494000002,46.801166623200004,69.22072940000001,96.4989784371,966.7990924487999
UNLV,"University of Nevada, Las Vegas",Rebels,Paradise,Nevada,State,Mountain West Conference,UNLV Paradise Nevada,-115.14183186108524,36.1071554,UNLV,7.0,348.8758493328572,98.99684822361397,225.52660445,297.63049529,366.49082951,366.49082951,521.87086177,7.0,238.91667015665712,124.31057081610565,96.9764399135,129.640359956,224.4044705611,362.6321156,366.49082951
Washington,University of Washington,Huskies,Seattle,Washington,State,Pac-12 Conference,University of Washington Seattle Washington,-122.30800894320257,47.65432379999999,Washington,2.0,277.14389342,181.97181826496103,148.47038674,212.80714008,277.14389342,341.48064676,405.8174001,2.0,234.8298331991,241.81293610842968,63.8422662982,149.33604974865,234.8298331991,320.32361664955,405.8174001
Temple,Temple University,Owls,Philadelphia,Pennsylvania,State-related,American Athletic Conference,Temple University Philadelphia Pennsylvania,-75.15628269523319,39.981188,Temple,4.0,312.8369970875,251.72126030671274,117.70009482,163.10522721750002,228.26374370500002,377.995513575,677.12040612,4.0,229.18620002305,184.4405443749423,50.6110407726,146.33296370565,189.3035334566,272.156769774,487.52669240639995
Houston,University of Houston,Cougars,Houston,Texas,State,American Athletic Conference,University of Houston Houston Texas,-95.34406271491372,29.7207902,Houston,1.0,446.19408768000005,,446.19408768000005,446.19408768000005,446.19408768000005,446.19408768000005,446.19408768000005,1.0,227.55898471680004,,227.55898471680004,227.55898471680004,227.55898471680004,227.55898471680004,227.55898471680004
Marquette,Marquette University,Golden Eagles,Milwaukee,Wisconsin,Private/Catholic,Big East Conference,Marquette University Milwaukee Wisconsin,-87.93155449905072,43.03889625,Marquette,4.0,456.971767675,265.9722376593688,243.93161347,323.19369823,369.383311515,503.16138096000003,845.1888342000002,4.0,216.15182483025,103.04353375514918,124.40512286970001,164.8287860973,188.38548887265,239.7085276056,363.4311987060001
Illinois,University of Illinois at Urbana–Champaign,Fighting Illini,Urbana–Champaign,Illinois,State,Big Ten Conference,University of Illinois at Urbana–Champaign Urbana–Champaign Illinois,-88.22402607254264,40.106650099999996,Illinois,11.0,414.08954275818184,454.9576578681523,111.89648968,119.026721905,214.96951116,500.9275522150001,1679.51610332,11.0,209.22125322961818,185.80807988544043,48.1154905624,109.3489307171,214.96951116,230.7582997216,722.1919244275999
Ole Miss,University of Mississippi,Rebels,Oxford,Mississippi,State,Southeastern Conference,University of Mississippi Oxford Mississippi,-89.53963491020966,34.3646125,Ole Miss,2.0,444.05035773,20.097042127292184,429.83960296,436.94498034500003,444.05035773,451.15573511499997,458.2611125,2.0,208.13523794230002,15.673671731308302,197.05227837500001,202.59375815865002,208.13523794230002,213.67671772595,219.2181975096
Duke,Duke University,Blue Devils,Durham,North Carolina,Private/Non-sectarian,Atlantic Coast Conference,Duke University Durham North Carolina,-78.94422972195878,36.00015569999999,Duke,31.0,299.2298240670968,387.3379551772014,8.661911739999999,47.628087150000006,119.28459087,343.77039889499997,1803.36155733,31.0,201.32720261618067,213.17365445009983,6.236576452799999,47.628087150000006,119.28459087,245.73678943065,919.7143942383001
